time_class,country,n_games,mean_delta,p_raw,n_tests_this_run,bonferroni_alpha,significant_after_correction
blitz,Brazil,30,-0.1146,0.0715,15,0.00333,False
blitz,Türkiye,22,-0.1203,0.125,15,0.00333,False
blitz,Mexico,26,0.1544,0.1705,15,0.00333,False
blitz,Italy,18,0.1765,0.1777,15,0.00333,False
blitz,Spain,19,-0.0735,0.3243,15,0.00333,False
blitz,France,52,0.0948,0.3504,15,0.00333,False
blitz,Canada,16,-0.055,0.4271,15,0.00333,False
blitz,India,87,0.0089,0.5666,15,0.00333,False
blitz,Germany,21,0.0909,0.5952,15,0.00333,False
blitz,Indonesia,51,0.007,0.6578,15,0.00333,False
blitz,United States,161,0.0489,0.6935,15,0.00333,False
blitz,Egypt,20,-0.0052,0.7069,15,0.00333,False
blitz,Philippines,26,0.0078,0.7571,15,0.00333,False
blitz,United Kingdom,36,0.0507,0.8362,15,0.00333,False
blitz,Russian Federation,18,0.0248,0.9218,15,0.00333,False
rapid,Netherlands,20,0.2015,0.0624,21,0.00238,False
rapid,Indonesia,55,-0.0857,0.0968,21,0.00238,False
rapid,Mexico,20,0.1841,0.1095,21,0.00238,False
rapid,Argentina,22,0.1296,0.2487,21,0.00238,False
rapid,France,68,-0.0418,0.2785,21,0.00238,False
rapid,Poland,17,0.117,0.3588,21,0.00238,False
rapid,Spain,25,-0.0614,0.3985,21,0.00238,False
rapid,Canada,17,0.1061,0.4404,21,0.00238,False
rapid,Italy,45,-0.0232,0.5237,21,0.00238,False
rapid,"Iran, Islamic Republic of",16,-0.0579,0.5354,21,0.00238,False
rapid,Ukraine,21,-0.0462,0.545,21,0.00238,False
rapid,Russian Federation,19,0.0793,0.5645,21,0.00238,False
rapid,India,194,0.0317,0.6417,21,0.00238,False
rapid,Viet Nam,26,0.0583,0.6447,21,0.00238,False
rapid,Egypt,28,-0.0177,0.6929,21,0.00238,False
rapid,Germany,28,0.0385,0.8122,21,0.00238,False
rapid,Philippines,27,-0.0012,0.8369,21,0.00238,False
rapid,Türkiye,20,0.0029,0.892,21,0.00238,False
rapid,United States,153,0.0155,0.9559,21,0.00238,False
rapid,Brazil,39,0.0149,0.9733,21,0.00238,False
rapid,United Kingdom,41,0.0175,0.9998,21,0.00238,False
